Rank,Username,UserId,TelegramUserId,WalletAddress
40,anitabellaz808,92,6703874681,7iE3KGCZadcxV5rKsvdk4WGHCRSG4EC8rVWNpNsGyGuL
41,transcendingalchemist,6673,1504769283,
42,vaniaksmonteiro,2034,5438050109,
43,tapps_center_ref,4900,7491565825,
44,Varian_t,155,1277711548,
45,Olamide,138,7066587292,
46,Bintobaro9,4647,7244710796,428MCSiNbSirsDFQaXCKm8RCrH9WMmod4CaU2jFmY4Kv
47,Cupidsolo,4685,2085010560,
48,Mikk Maal,3,43709028,
49,Timitoni,4699,5411481940,
50,celinemaur,4562,6046861185,5AgeKUmwJMLZeT8FFQyWTXbmeeaTgMK5gnisovLUKXnu
51,Musan999,4678,5181636377,
52,TheguyK,3913,1534235579,4zK1SmZ8vicYToQPPxvRjYmVNYhg96RuTHm3Jf7xemnQ
53,Mdkuddus223,5865,7273642905,
54,bnumarib,5886,6825112807,
55,mehedi188957,5016,7443843031,
56,wayawoyo,6195,5949050528,
57,Missb,5361,7814848620,
58,Kazeem,123,5747498466,6yNgnL5Trz7nvSbeJveQh7JaS7M9DkQZwuuEb9oVLnJk
59,RotimiYP,48,2136190745,C8qtYBLepfczYN8PMP2Nmt4bbnjZYYB6T6rGXGEC98Gv
60,JOCOCO11,6376,5141135341,
61,Danielgemfinder_01,5717,7446603699,4mchYTQSk8PttdgDj7qFkMNrs54PxVDd1bSxvt72dzSY
62,Bnumari,5881,5719040556,
63,Oyewole,5341,7454438966,
64,apon9890,5880,1132090691,
65,Aminaibjika,5888,6498307361,
66,Bellaz808,80,6791741334,8gnskYZwYVVofxZzyWRHjvr4V7p1bc4uwQetEEsQN1Ba
67,Omaa_nze,144,1262055027,
68,sini555,79,6180537630,
69,BRONDERBRONDER,47,1610627852,64o8QjMTWhyex3iYMyjUdzgS1iNr5LbmXie7MxtyjTXu
70,Abiirfan77,6702,5062167126,
71,Olawale,122,7087762355,
72,Rinawatic_C,4893,2059108546,
73,aylnitami,3507,6554685513,
74,arab_cash0,8,1953702793,
75,dandyface,6481,5065797084,
76,vichezcrepto,7149,995518610,
77,Mirex_05,4761,7492044258,
78,Ogebest55,5600,7307786748,
79,hxkzzh,5074,6623629931,
80,D0NTJINX,2806,7470847211,
81,imyourri,4607,6993242353,
82,ar_asif302,3268,1217722207,
83,YoussefHassan2399,6806,686335097,
84,Okonkwu,5388,7416294898,
85,janodor,7276,5515457067,
86,ozzimoon,6525,5768674062,
87,Sir_T0N,6622,632338678,
88,tha_chosenone,65,1693989165,
89,Dheaoktv,1760,5376780802,
90,neoboyzxi,1301,6157345788,
91,conffies,5136,7608416239,
92,Ifesinachi,5591,747373972,
93,flower4us,4883,5972691443,
94,carmhander,5994,6831977105,
95,Favurr,49,646448555,6pQJfEa2D9QyLyLmCuccHWQ6tpzbfWjXU8Xf2ULrttap
96,Edithk7ll,576,7450915778,
97,Adeshola,2007,6022120202,
98,Chacha,5903,7269605307,
99,Berry,4703,5161043371,
100,Legend29987,5998,5826532978,
